noise,ir,features,mean_mse,std_mse,modus_alpha,mean_selected_total,std_selected_total,mean_correct_selected,std_correct_selected,mean_grid_time,std_grid_time,mean_precision,std_precision,mean_recall,std_recall,p/n,mean_precision5,std_precision5,mean_precision10,std_precision10
0.01,0.001,5000,4.792626925272245,0.585802143470754,9.999999999999999e-05,3571.12,698.9475413791796,5.0,0.0,0.25896577835083007,0.16225747455867195,0.0014683378835631754,0.00035105046975783977,1.0,0.0,50.0,0.84,0.12000000000000001,0.9519999999999998,0.08541662601625048
0.01,0.01,500,4.223036337160387,0.6244721174961242,9.999999999999999e-05,488.34,5.551972622410885,5.0,0.0,0.13009233474731446,0.01326959309353214,0.010240139713193173,0.00012069666299615488,1.0,0.0,5.0,0.956,0.08284926070883189,1.0,0.0
0.01,0.1,50,0.00020244320782662688,4.497177140524188e-05,9.999999999999999e-05,25.64,3.702755730533679,5.0,0.0,0.13551226139068603,0.02351429971878445,0.19927081318552056,0.03016713343680879,1.0,0.0,0.5,1.0,0.0,1.0,0.0
0.1,0.001,5000,4.807166808376275,0.5946456418123437,9.999999999999999e-05,3562.62,715.6203990943802,5.0,0.0,0.23550809860229494,0.010190343019769909,0.0014751644157441266,0.00035908217919510926,1.0,0.0,50.0,0.8439999999999999,0.12191800523302534,0.9479999999999998,0.08772684879784522
0.1,0.01,500,4.233159470461572,0.6325518677363499,9.999999999999999e-05,487.86,5.012025538642037,5.0,0.0,0.13551146507263184,0.016299864279845228,0.010249955475024814,0.00010843341754741766,1.0,0.0,5.0,0.9519999999999998,0.08541662601625048,1.0,0.0
0.1,0.1,50,0.020260624994941124,0.0045603638067025715,9.999999999999999e-05,47.62,1.4681961721786365,5.0,0.0,0.13296288013458252,0.021721432181312488,0.10510009170601213,0.003316279806525894,1.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.001,5000,5.856176116784613,0.8389454534494357,10000.0,3460.7,726.2705074557275,5.0,0.0,0.23848737716674806,0.010406925566745712,0.0015162798345768175,0.0003431287230609026,1.0,0.0,50.0,0.7360000000000001,0.1466424222385869,0.8440000000000001,0.14582180906846548
1.0,0.01,500,5.418933610900853,0.858037485747054,9.999999999999999e-05,486.06,14.97519282012756,5.0,0.0,0.14719947814941406,0.014536493022438968,0.010298672754335192,0.00038635686704873676,1.0,0.0,5.0,0.9079999999999998,0.10740577265678038,0.972,0.06939740629158987
1.0,0.1,50,1.8230562375459913,0.42063162002878374,9.236708571873864,49.82,0.43312815655415426,5.0,0.0,0.14119776248931884,0.01882464978482824,0.10036904761904761,0.00089113212045479,1.0,0.0,0.5,1.0,0.0,1.0,0.0
