noise,ir,features,mean_mse,std_mse,modus_alpha,mean_selected_total,std_selected_total,mean_correct_selected,std_correct_selected,mean_grid_time,std_grid_time,mean_precision,std_precision,mean_recall,std_recall,p/n,mean_precision5,std_precision5,mean_precision10,std_precision10
0.01,0.001,5000,6.677638568780063,3.0617487529166247,0.7278953843983147,85.86,111.07817247326317,1.68,1.156546583584077,0.7509466981887818,0.21024093005100544,0.14608920493829314,0.24949476184204603,0.33599999999999997,0.23130931671681534,50.0,0.256,0.1329059818066892,0.28,0.15491933384829665
0.01,0.01,500,5.619867230418732,1.7227962765931715,0.3856620421163472,20.2,26.238140177992797,1.72,0.8255906976220118,0.17176937580108642,0.032178192598536944,0.29649277310509914,0.34540463743122557,0.344,0.16511813952440235,5.0,0.292,0.10740577265678042,0.316,0.12705904139414873
0.01,0.1,50,5.400473670325704,1.5824929734659132,0.3856620421163472,6.76,5.34625102291316,2.36,0.8890444308357147,0.1873388910293579,0.02732954249600244,0.4838683288038127,0.2543648303790336,0.4720000000000001,0.17780888616714294,0.5,0.4360000000000001,0.142492105044455,0.4600000000000001,0.1661324772583615
0.1,0.001,5000,6.748968722738471,3.0837383482635934,0.7278953843983147,91.94,116.5419083420209,1.78,1.221310771261762,0.7504365634918213,0.19279390613115907,0.15570977153899573,0.273839333909877,0.3559999999999999,0.2442621542523524,50.0,0.256,0.1329059818066892,0.28400000000000003,0.16536021286875507
0.1,0.01,500,5.634104799354756,1.7005322096933997,0.3856620421163472,25.08,35.913139656677195,1.82,0.8874683092933516,0.16827598094940185,0.02671023773355484,0.2698475267317744,0.3319380014201377,0.364,0.17749366185867033,5.0,0.296,0.09991996797437437,0.32799999999999996,0.1312097557348538
0.1,0.1,50,5.409088511707455,1.5816695551928963,0.3856620421163472,7.08,5.680985829941843,2.36,0.8662563131083085,0.18665727615356445,0.028795202421877518,0.4713763290802765,0.25655333243755984,0.4720000000000001,0.1732512626216617,0.5,0.44000000000000006,0.14422205101855956,0.4600000000000001,0.16124515496597097
1.0,0.001,5000,7.951227725523638,3.2261565818572375,0.7278953843983147,100.28,120.73508852028064,1.66,1.1934822998268553,0.8945799398422242,0.24634759327003777,0.13431603690996474,0.24411531173797463,0.33199999999999996,0.23869645996537112,50.0,0.25999999999999995,0.1341640786499874,0.27999999999999997,0.17435595774162693
1.0,0.01,500,6.822757470304815,1.9337240545029069,0.7278953843983147,21.4,42.53328108669727,1.72,0.96,0.16321982860565185,0.02523730353076874,0.3795171905647935,0.3660709389771184,0.344,0.192,5.0,0.27599999999999997,0.11926441212700459,0.292,0.13392535234226566
1.0,0.1,50,6.495285676995095,1.6707767881001991,0.3856620421163472,7.46,5.5828666471625485,2.22,0.8316249154516716,0.1742523193359375,0.028519862978587815,0.41797352930493326,0.2453818512828424,0.44400000000000006,0.1663249830903343,0.5,0.41200000000000003,0.1409113196304683,0.44000000000000006,0.16
