noise,ir,features,mean_mse,std_mse,modus_alpha,mean_selected_total,std_selected_total,mean_correct_selected,std_correct_selected,mean_grid_time,std_grid_time,mean_precision,std_precision,mean_recall,std_recall,p/n,mean_precision5,std_precision5,mean_precision10,std_precision10
0.01,0.001,5000,8.234585796655313,3.0731065401080544,10000.0,3486.62,641.5420139008825,4.44,0.6681317235396027,0.24551220417022704,0.02123443143627816,0.0013084307301704599,0.00028683825985452953,0.888,0.1336263447079205,50.0,0.21599999999999994,0.0783836717690617,0.248,0.0854166260162505
0.01,0.01,500,7.312331982167721,2.0246902412024226,10000.0,444.22,65.06743886153811,4.62,0.66,0.16185708999633788,0.018096132479403254,0.010499226413120358,0.001476102334259471,0.9239999999999999,0.132,5.0,0.284,0.09871170143402454,0.308,0.11461239025515522
0.01,0.1,50,6.5636609742901,2.0199735099688483,117.21022975334793,49.7,0.6403124237432849,4.98,0.13999999999999999,0.17190736293792724,0.027147729058289195,0.10020408163265306,0.0027054183150709795,0.996,0.027999999999999997,0.5,0.468,0.15289211882893114,0.5640000000000001,0.16341358572652395
0.1,0.001,5000,8.25373959631442,3.0849733755756628,10000.0,3482.78,636.6475411088934,4.44,0.6053098380168623,0.24307934284210206,0.021993110124771967,0.001314556044669579,0.00029311177730633776,0.888,0.12106196760337244,50.0,0.22399999999999995,0.07631513611335566,0.248,0.0854166260162505
0.1,0.01,500,7.322115460952075,2.018569522553709,10000.0,443.54,65.28926711183087,4.62,0.6896375859826667,0.15375046730041503,0.017010513791599305,0.010495817578137468,0.0014325162290771405,0.9239999999999999,0.13792751719653332,5.0,0.28800000000000003,0.09927738916792686,0.308,0.11461239025515522
0.1,0.1,50,6.570454318011848,2.0054790260878614,117.21022975334793,49.64,0.5571355310873647,4.98,0.13999999999999999,0.18105249881744384,0.029975191174785594,0.1003299319727891,0.0029009757223402727,0.996,0.027999999999999994,0.5,0.4640000000000001,0.14108153670838716,0.556,0.1564097183681372
1.0,0.001,5000,9.328786726396618,3.260862550088586,10000.0,3488.68,588.2492818525153,4.3,0.7280109889280518,0.24345224380493163,0.016917806282913832,0.0012511515423248975,0.00022983585435053388,0.8600000000000001,0.14560219778561037,50.0,0.21199999999999997,0.0620966987850401,0.22399999999999995,0.0649923072370877
1.0,0.01,500,8.301675792061097,2.0971063602577633,788.0462815669904,446.34,64.0988642645094,4.62,0.6896375859826667,0.15974395275115966,0.022692702888166275,0.01042165709857502,0.001425077101944996,0.924,0.13792751719653334,5.0,0.26799999999999996,0.0947417542586161,0.296,0.10762899237658968
1.0,0.1,50,7.688631802177432,2.0769471912200337,117.21022975334793,49.68,0.6462197768561405,4.98,0.13999999999999999,0.1834526252746582,0.026582881772101125,0.10023614126501662,0.0024134551864669223,0.996,0.027999999999999997,0.5,0.40399999999999997,0.14691494137765565,0.5000000000000001,0.1708800749063506
