noise,ir,features,mean_mse,std_mse,mean_selected,std_selected,mode_n_estimators,mode_max_depth,mode_min_samples_split,mode_min_samples_leaf,mode_max_features,mean_grid_time,std_grid_time,mean_correct_selected,std_correct_selected,mean_precision,std_precision,mean_recall,std_recall,p/n,mean_precision5,std_precision5,mean_precision10,std_precision10
0.01,0.001,5000,6.939252339466625,2.9396736019534595,193.0,38.67660791744798,100,,2,4,1666,38.945101075172424,1.3295837744449002,3.14,0.748598690888516,0.016752258017360702,0.004659392546761295,0.6280000000000001,0.14971973817770323,50.0,0.308,0.11461239025515522,0.368,0.14062716664997557
0.01,0.01,500,5.373094991140676,1.7637355503836925,193.26,31.037274364866512,400,10.0,2,2,166,12.224375133514405,0.3249910326456408,4.5,0.6403124237432849,0.02383559210058227,0.00490959540393379,0.9,0.12806248474865697,5.0,0.47200000000000003,0.13120975573485377,0.552,0.12367699866992246
0.01,0.1,50,4.713310607236551,1.5809686347952638,49.98,0.14,100,10.0,2,1,16,8.455019245147705,0.25511652427387455,5.0,0.0,0.10004081632653058,0.00028571428571428525,1.0,0.0,0.5,0.6280000000000001,0.16497272501841026,0.8000000000000002,0.15491933384829668
0.1,0.001,5000,6.952462738641579,2.9599450570508266,191.82,36.62441262327629,100,,2,4,1666,38.86437087059021,1.3238954820986755,3.08,0.7704544113703289,0.016522575141023774,0.004780695797596007,0.6160000000000001,0.15409088227406578,50.0,0.312,0.09927738916792686,0.38,0.13999999999999999
0.1,0.01,500,5.401982244756332,1.7252256396613785,193.4,32.803658332570166,400,,2,1,166,12.175064215660095,0.31319158222595334,4.58,0.532541078227774,0.0243034452947155,0.004741536360600348,0.9159999999999999,0.10650821564555477,5.0,0.47600000000000003,0.11926441212700456,0.544,0.1329059818066892
0.1,0.1,50,4.832493177425674,1.6781183393820123,50.0,0.0,100,,2,1,16,8.483183860778809,0.2682819234382205,5.0,0.0,0.09999999999999998,2.7755575615628914e-17,1.0,0.0,0.5,0.6240000000000001,0.1631686244349691,0.7879999999999999,0.17162750362339949
1.0,0.001,5000,8.283993123297893,3.2585152706879366,206.32,52.38031691389429,100,,2,1,1666,38.21767919063568,1.4951602096801664,2.36,1.0725670142233539,0.012016355445841464,0.005720714556705095,0.472,0.21451340284467074,50.0,0.24799999999999997,0.1417603611733548,0.26799999999999996,0.14204224723651762
1.0,0.01,500,6.5755565630962005,1.7785181764038491,214.46,34.34950363542391,400,,2,1,166,12.037623586654663,0.26922171262489586,4.44,0.6374950980203691,0.021321228337231025,0.004981792544911461,0.8879999999999998,0.1274990196040738,5.0,0.42,0.13999999999999999,0.49999999999999994,0.14560219778561034
1.0,0.1,50,6.041653760294716,1.7060569483357564,49.98,0.14000000000000004,100,10.0,2,1,16,8.379913368225097,0.18673067665056933,5.0,0.0,0.10004081632653058,0.00028571428571428514,1.0,0.0,0.5,0.6120000000000001,0.17162750362339949,0.748,0.17348198753761154
