noise,ir,features,mean_mse,std_mse,modus_alpha,mean_selected_total,std_selected_total,mean_correct_selected,std_correct_selected,mean_grid_time,std_grid_time,mean_precision,std_precision,mean_recall,std_recall,p/n,mean_precision5,std_precision5,mean_precision10,std_precision10
0.01,0.001,5000,0.00021664773521416322,7.588483485291393e-05,0.002395026619987486,32.56,12.77522602539775,5.0,0.0,0.3974214839935303,0.07051954446740902,0.2045465044640481,0.14609832473344084,1.0,0.0,50.0,1.0,0.0,1.0,0.0
0.01,0.01,500,0.00015033320520752157,3.018760163672285e-05,0.002395026619987486,21.06,12.159621704641967,5.0,0.0,0.1660281801223755,0.017877950901697585,0.3043200041849045,0.13662117890706413,1.0,0.0,5.0,1.0,0.0,1.0,0.0
0.01,0.1,50,0.00012382842790139195,2.0706691691596308e-05,0.0012689610031679222,14.44,5.138715792880553,5.0,0.0,0.1397926139831543,0.02319819695593928,0.3762718521286297,0.09247135316211845,1.0,0.0,0.5,1.0,0.0,1.0,0.0
0.1,0.001,5000,0.02041582604155443,0.005402347702443698,0.01610262027560939,49.4,20.4215572373901,5.0,0.0,0.3732035160064697,0.06730907419218034,0.1237323223455837,0.06443904245494742,1.0,0.0,50.0,1.0,0.0,1.0,0.0
0.1,0.01,500,0.014555578722952984,0.0029498239033790355,0.01610262027560939,32.82,13.900633079108305,5.0,0.0,0.1589413356781006,0.0181780849363018,0.18564469267201783,0.11237893366304878,1.0,0.0,5.0,1.0,0.0,1.0,0.0
0.1,0.1,50,0.012530012947981844,0.002108939532816273,0.008531678524172805,16.22,6.4692812583779356,5.0,0.0,0.14696886539459228,0.018276440331757217,0.3664558267258833,0.1570448065817241,1.0,0.0,0.5,1.0,0.0,1.0,0.0
