function_number,noise,informative_ratio,n_features,mean_mse,std_mse,mean_precision5,std_precision5,mean_precision10,std_precision10
1,0.01,0.01,500,5.076746877596697,1.4659694058003991,0.28800000000000003,0.2084610275327261,0.34800000000000003,0.2523806648695577
2,0.01,0.01,500,0.7740322610519884,0.12668202115442415,0.21199999999999997,0.04749736834815167,0.22399999999999995,0.07631513611335565
3,0.01,0.01,500,0.17569657987573842,0.03151566265770138,0.20799999999999996,0.03919183588453085,0.21599999999999997,0.06740919818541087
4,0.01,0.01,500,5.496146309749285,1.6798527160985608,0.544,0.2967557918558625,0.616,0.32209315422715834
5,0.01,0.01,500,4.936368889927561,1.5701403014386397,0.42400000000000004,0.1581897594662815,0.47200000000000003,0.18225257199831227
6,0.01,0.01,500,1.6093815296682934,0.3338186330980338,0.212,0.07386474125047755,0.22399999999999998,0.08616263691415207
7,0.01,0.01,500,1.9137222605666955,0.41817242391721304,0.008,0.039191835884530846,0.008,0.039191835884530846
