function_number,noise,informative_ratio,n_features,mean_mse,std_mse,mean_precision5,std_precision5,mean_precision10,std_precision10
1,0.01,0.01,500,4.452820272456223,1.2156729506177812,0.6040000000000001,0.17200000000000001,0.38,0.0938083151964686
2,0.01,0.01,500,0.8427148455702954,0.12539268770489548,0.22399999999999995,0.0649923072370877,0.128,0.04915282290977803
3,0.01,0.01,500,0.46862194413971237,0.09661945612019898,0.22799999999999998,0.06939740629158989,0.13,0.053851648071345036
4,0.01,0.01,500,4.667570501325323,1.5980155437168018,0.76,0.13266499161421602,0.436,0.06248199740725323
5,0.01,0.01,500,4.772339469189296,1.6812321123401075,0.508,0.1397712416772492,0.29400000000000004,0.07045565981523415
6,0.01,0.01,500,1.6047800665836096,0.35665723516738806,0.348,0.13746272221951666,0.218,0.08170679286326199
7,0.01,0.01,500,1.7626789371220313,0.37128843461952415,0.23199999999999996,0.14062716664997557,0.15,0.08306623862918075
