function_number,noise,informative_ratio,n_features,mean_mse,std_mse,mean_precision5,std_precision5,mean_precision10,std_precision10
1,0.01,0.01,500,5.241822294439819,1.362645284900968,0.34,0.17549928774784243,0.45599999999999996,0.20015993605114887
2,0.01,0.01,500,1.108069662933225,0.16840307942695876,0.212,0.04749736834815167,0.228,0.08009993757800314
3,0.01,0.01,500,1.0200783085293004,0.1451000163797784,0.20799999999999996,0.03919183588453085,0.20799999999999996,0.03919183588453085
4,0.01,0.01,500,6.317490666257019,1.8642582301035318,0.556,0.13440238093129153,0.676,0.14907716122867382
5,0.01,0.01,500,7.1650890597519945,2.3203231129139383,0.35199999999999987,0.12367699866992245,0.3960000000000001,0.14136477637657832
6,0.01,0.01,500,1.8275652132482594,0.348093268022125,0.23199999999999998,0.07332121111929345,0.236,0.0768374908491942
7,0.01,0.01,500,1.9160413381748171,0.40657284902838475,0.044000000000000004,0.08284926070883192,0.06000000000000001,0.11489125293076059
